spec_item_id;spec_name;mark;price;supplier;card_name;url;verdict;reason
7382;"Теплосчетчик поквартирный, qp=1.5м3/ч; Ø15";SonoSelect 10;12270.5;ridan.ru;SonoSelect10 (Интеллектуальный выбор) /1,5/под/Ду15/M-bus+лист пов.;https://ridan.ru/product/014U0091P;верно;SonoSelect 10, qp 1,5, Ду15 совпали
7383;Радиатор панельный Compact;C22-400-600;5831;nord-heat.ru;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 600 мм) бо;https://nord-heat.ru/steel/compact/c22-400-600.html;верно;"бренд в позиции не указан; тип и габарит 22-400-600 совпали"
7384;Радиатор панельный Compact;C22-400-1200;10119;nord-heat.ru;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1200 мм) б;https://nord-heat.ru/steel/compact/c22-400-1200.html;верно;"бренд в позиции не указан; тип и габарит 22-400-1200 совпали"
7385;Радиатор панельный Compact;C22-400-1400;11443;nord-heat.ru;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1400 мм) б;https://nord-heat.ru/steel/compact/c22-400-1400.html;верно;"бренд в позиции не указан; тип и габарит 22-400-1400 совпали"
7386;Радиатор панельный Compact;C33-400-1000;12447;nord-heat.ru;Панельный радиатор Evra Compact (тип 33 высота 400 мм длина 1000 мм) б;https://nord-heat.ru/steel/compact/c33-400-1000.html;верно;"бренд в позиции не указан; тип и габарит 33-400-1000 совпали"
7387;Радиатор панельный Ventil Compact;CV11-400-1000;6979;nord-heat.ru;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 100;https://nord-heat.ru/steel/ventil-compact/cv11-400-1000.html;верно;"бренд в позиции не указан; тип и габарит CV11-400-1000 совпали"
7388;Радиатор панельный Ventil Compact;CV11-400-1200;6153;stoking.ru;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1200;https://stoking.ru/products/radiator-stal-panelnyy-evra-ventil-compact-11cv-400x1200;верно;"бренд в позиции не указан; тип и габарит CV11-400-1200 совпали"
7389;Радиатор панельный Ventil Compact;CV11-400-1400;8555;nord-heat.ru;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 140;https://nord-heat.ru/steel/ventil-compact/cv11-400-1400.html;верно;"бренд в позиции не указан; тип и габарит CV11-400-1400 совпали"
7390;Радиатор панельный Ventil Compact;CV11-400-1600;8216;profsnabeng.ru;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1600;https://profsnabeng.ru/product/109471-evra-cv-11-400-1600-evra_r;верно;"бренд в позиции не указан; тип и габарит CV11-400-1600 совпали"
7391;Радиатор панельный Ventil Compact;CV22-400-700;8335;nord-heat.ru;Панельный радиатор Evra Ventil Compact (тип 22 высота 400 мм длина 700;https://nord-heat.ru/steel/ventil-compact/cv22-400-700.html;верно;"бренд в позиции не указан; тип и габарит CV22-400-700 совпали"
7392;Радиатор панельный Ventil Compact;CV22-400-800;9005;nord-heat.ru;Панельный радиатор Evra Ventil Compact (тип 22 высота 400 мм длина 800;https://nord-heat.ru/steel/ventil-compact/cv22-400-800.html;верно;"бренд в позиции не указан; тип и габарит CV22-400-800 совпали"
